프로젝트명,대항목,순서,작업내용,상태,비고,첨부,업데이트일
SLH1 #6호기,Ray-Out 이후,1,"전면부/후면부1차 Levelling
 -> Auto Leveler 사용
 -> Stacker Base 상단 -> 바닥면 400mm",✅ 완료,"후면부 Leveling 완료, 하단 Put -> 바닥 약 180mm Setting 후 Auto Level 기 사용.",,최염광 (26-03-05)
SLH1 #6호기,Ray-Out 이후,2,전/후면부 Docking 및 Leveling Detail 조정,✅ 완료,Middle Rail Flow Align Setting 시 좌우 편차 발생여부 Check 필요,,최염광 (26-03-05)
SLH1 #6호기,Ray-Out 이후,3,Main 공압 포설,✅ 완료,,,최염광 (26-03-05)
SLH1 #6호기,Ray-Out 이후,4,"Regulator Setting
 - 전면부 Main 0.65Mpa, 후면부 Main 0.5Mpa
 - Main Digital Pressure Switch 설정법
     ->  s버튼 5초이상 꾹 누른다.
     ->  F0번에서 s버튼을 눌러 RAnG값 1,  Unit Mpa로 변경
     ->  s버튼을 꾹 눌러 main화면으로 돌아온다.
     -> main화면에서 P_1 P_2값을 0.3으로 하고 H_1 H_2값을 0으로 한다.
 - Set-Plate Up Absorber : 0.3Mpa
 - Reject Stacker : 0.4Mpa
 - LD/ULD Hand : 0.6Mpa
 - TestSite 정공 Regulator OS상 입력
  -> T/S Front : 0.2    T/S Rear : 0.2  Press : 0.2 
  ->  Rail, Lock Pin : 0.4Mpa
 - Main Digital Pressure Switch Setting 
  ->",✅ 완료,,,최염광 (26-03-06)
SLH1 #6호기,Ray-Out 이후,5,"I/O Check
 -> OUP PUT으로 동작 후 IN PUT LED 확인.
 -> Cylinder 정상 동작 확인
 -> MANUAL에서 Cylinder 동작 후 LED 점등 확인 
 -> 미비된 부분 I/O LIST,PC에 저장 후 전장 수정 요청 진행
 -> 전장 수정 후 수정되었는지 동작,LED 확인",✅ 완료,최종 Check 후 수정 완료. X372 수정 대기중.,,최염광 (26-03-10)
SLH1 #6호기,Ray-Out 이후,6,공압 Leak Check,✅ 완료,,,이철희 (26-03-06)
SLH1 #6호기,Ray-Out 이후,7,Cylinder Take Time,✅ 완료,"전/후면부 완료, Motor 위치 Intorlock Cylinder 제외 완료. Speed 조정은 진행",,최염광 (26-03-13)
SLH1 #6호기,기구물 Setting,1,Hand 제작 전 Up/Down Cylinder Damper All Open(Air 강하게 사용시 튕김&버벅거림 발생),✅ 완료,,,최염광 (26-03-13)
SLH1 #6호기,기구물 Setting,2,"Stacker Conveyor Belt Inverter 값 설정
->운전 모드 변경 P79-2(인터락 해제), P79-1(인터락 작동)
-> P3 60  P4 : 60(고속), P5 : 30(중속), P6 : 10(저속)
-> P7 : 5 (가속),  P8 : 0 (감속)",✅ 완료,,,최염광 (26-03-13)
SLH1 #6호기,기구물 Setting,3,"Reject Stacker Front/Rear Base 높이 조정
 -> Rear Base Cylinder Rod 최대로 내린뒤, front를 무두 볼트 사용하여 Setting",🚨 보류,,,최염광 (26-04-07)
SLH1 #6호기,기구물 Setting,4,Set-Plate Support Lock/Unlock Cylinder Rod SETTING,✅ 완료,,,최염광 (26-03-13)
SLH1 #6호기,기구물 Setting,5,LD/ULD Middle Gripper UP Cylinder Rod (37mm) SETTING,✅ 완료,,,최염광 (26-03-13)
SLH1 #6호기,기구물 Setting,6,"LD/ULD Flow Presicer Up Rod (60mm) Setting 
 -> T-Tray <-> Frame 간 공차 없게 조정",✅ 완료,,,최염광 (26-03-13)
SLH1 #6호기,기구물 Setting,7,InPut/OutPut Bottom Feeder UP Cylinder Rod(16.5mm) SETTING,✅ 완료,,,최염광 (26-03-13)
SLH1 #6호기,기구물 Setting,8,"L/D, UL/D Middle Rail Up/Down 높이,평탄,직진도 SETTING (T-TRAY 사용)
 -> T-Tray 사용,UP/DOWN 상태에서 T-Tray가 흘려 내려가지 않게 SETTING
 -> Stopper 사용하여 UP/DOWN 높이 레벨 조정 (Up :48.5mm, Down :  42.5mm)
 -> UP 상태일때 후면부 Rail 한쪽이 안맞는다면 후면부 쪽Rail 위치 조정 필요",✅ 완료,,,최염광 (26-03-13)
SLH1 #6호기,기구물 Setting,9,"배출 Fan 장착 및 전원 Connect 연결
 -> I/O 번호 확인, OS에서 FAN Check 확인",✅ 완료,,,최염광 (26-03-13)
SLH1 #6호기,기구물 Setting,10,Hand Vac/Blow Air Line CDA Main to Hand Regulator Direct Connect Setting,✅ 완료,,,최염광 (26-03-24)
SLH1 #6호기,기구물 Setting,11,LD/ULD Gripper Up/Down Air Line 스피드콘 장착,✅ 완료,,,최염광 (26-03-13)
SLH1 #6호기,기구물 Setting,12,LD/EMPTY Stacker Align Guide 1번 JIG 장착 상태 Setting,✅ 완료,,,최염광 (26-03-19)
SLH1 #6호기,기구물 Setting,13,"LD/ULD Hand Deviation Sensor Setting
- LD Hand T-Tray Place Pos' -5.0mm 적용 후 Setting
- ULD Hand Fix Buffer Place 후 -12.00mm 적용 후 Setting
  -> ULD Hand Z축 Motor Touqe 값 확인 후 Setting 필요.",✅ 완료,,,최염광 (26-03-25)
SLH1 #6호기,직진도 측정,1,"LD Hand X,Y축 직진도 (±0.5mm) Setting 및 측정
- Dial Gauge Indicator 0.01mm(바늘)",✅ 완료,,"""\\192.168.0.100\500 생산\550 국내CS\SLH1 작업표준서(SLH1 조립 정밀도)\#5\SLH1 #5호기 정밀도 Spec Check-List_REV01.pdf""",최염광 (26-03-11)
SLH1 #6호기,직진도 측정,2,"ULD Hand X,Y축 직진도 (±0.5mm) Setting 및 측정
- Dial Gauge Indicator 0.01mm(바늘)",✅ 완료,,"""\\192.168.0.100\500 생산\550 국내CS\SLH1 작업표준서(SLH1 조립 정밀도)\#5\SLH1 #5호기 정밀도 Spec Check-List_REV01.pdf""",최염광 (26-03-11)
